CollegeId,Name
1,University of California-Santa Barbara
2,University of Arizona
3,Montana State University
4,University of Colorado
5,US Military Academy
6,Princeton University
7,University of Missouri-Rolla
8,MIT
9,Villanova University
10,University of Florida
11,DePauw University
12,Yale University
13,University of Illinois
14,US Naval Postgraduate School
15,US Naval Academy
16,Air Force Institute of Technology
17,Hastings College
18,Iowa State University
19,University of Washington
20,Creighton University
21,Harvard University
22,University of Illinois-Urbana
23,Purdue University
24,University of Southern California
25,Frostburg State University
26,University of Maryland
27,University of Idaho
28,University of Tennessee
29,George Washington University
30,University of Texas
31,Drexel University
32,Thomas Jefferson University
33,State University of New York-Buffalo
34,Cornell University
35,Northwestern University
36,Wright State University
37,University of Miami
38,Lehigh University
39,Georgetown University
40,Texas Technological College
41,Washington University
42,California Institute of Technology
43,US Air Force Academy
44,Old Dominion University
45,Pennsylvania State University
46,University of Houston-Clear Lake
47,Georgia Institute of Technology
48,Columbia University
49,University of North Carolina at Chapel Hill
50,Duke University
51,University of California Los Angeles
52,University of Wisconsin
53,The Citadel
54,University of Tennessee-Knoxville
55,College of William & Mary
56,Eastern Virginia Medical School
57,University of West Florida
58,Rice University
59,Stanford University
60,US Coast Guard Academy
61,Embry-Riddle Aeronautical University
62,San Francisco State University
63,University of Central Florida
64,California State University-Fullerton
65,University of California-Davis
66,Polytechnic Institute of Brooklyn
67,Virginia Polytechnic Institute
68,Michigan State University
69,University of Minnesota-Minneapolis
70,Emory University
71,Rutgers University
72,California Polytechnic State University
73,University of Connecticut
74,University of Sydney
75,Punjab Engineering College
76,University of Texas-Arlington
77,University of California-Berkeley
78,University of Wisconsin-Madison
79,Colorado State University
80,Utah State University
81,University of Massachusetts
82,Syracuse University
83,Webster University
84,Loyola College
85,Tennessee Polytechnic Institute
86,University of California-Los Angeles
87,Ohio State University
88,University of Houston
89,Auburn University
90,University of Alabama-Huntsville
91,University of Alabama at Birmingham
92,California State University
93,US Air Force Institute of Technology
94,University of Kansas
95,LeMoyne College
96,Washington State University
97,Queen's University-Canada
98,Cambridge University
99,University of Notre Dame
100,Troy State University
101,University of Virginia
102,Texas A&M University
103,University of Michigan
104,University of New Mexico
105,State University of New York
106,University of Utah
107,University of Oklahoma
108,Vanderbilt University
109,University of Pennsylvania
110,University of Rochester
111,California Polytechnic Institute
112,Muskingum College
113,Southeast Missouri State
114,University of Missouri
115,University of Vermont
116,Johns Hopkins University
117,University of Chicago
118,Webster College
119,Texas Tech University
120,Tufts University
121,University of California
122,
123,Golden Gate University
124,University of the Pacific
125,Northwest Nazarene College
126,Southern Illinois University-Carbondale
127,Florida Institute of Technology
128,Florida State Institute of Technology
129,Amherst College
130,Southern Methodist University
131,Baylor University
132,California State University-Northridge
133,Tarleton State University
134,Texas Woman's University
135,Tulane University
136,State University of New York at Buffalo
137,Northeastern University
138,Missouri Southern State College
139,University of Alabama
140,US Merchant Marine Academy
141,State University of New York Maritime College
142,College of the Holy Cross
143,Embry-Riddle University
144,US Army War College
145,Brown University
146,University of California-Berkley
147,University of Minnesota
148,University of Texas Medical Branch-Galveston
149,University of North Carolina
150,Wayne State University
151,University of New Hampshire
152,University College at Cardiff
153,Harvey Mudd College
154,Washington & Lee University
155,Davidson College
156,Wake Forest University
157,Rensselaer Polytechnic Institute
158,University of California-San Diego
159,Framingham State College
160,Bowie State College
161,California State University-Fresno
162,North Carolina A&T State College
163,West Florida University
164,Wellesley College
165,University of Richmond
166,Whitman College
167,Carnegie-Mellon University
168,University of Alabama-Birmingham
169,New York University
170,Marietta College
171,University of Kentucky
172,Dartmouth College
173,University of North Dakota
174,Williams College
175,San Diego State University
176,Oregon State University
177,University of Texas-El Paso
178,Baldwin Wallace College
179,Youngstown State University
180,University of Cambridge
181,University of North Texas
182,Oklahoma Baptist University
183,Oklahoma State University
184,US Naval War College
185,University of Texas-Dallas
186,Indiana University of Pennsylvania
187,Medical College of Pennsylvania
188,City College of New York
189,Florida State University
190,University of Edinburgh
191,Leeds University
192,University of Southern Mississippi
193,University of California-Santa Cruz
194,Dalhousie University
195,Florida Atlantic University
196,University of Hartford
197,University of Adelaide
198,Case Western Reserve University
199,Southeastern Massachusetts University
200,Delft University of Technology
201,University of Delaware
202,Saint John's University
203,Kent State University
204,John Carroll University
205,University of California at Los Angeles
206,Iowa Wesleyan College
207,Western Kentucky University
208,Tennessee Technological University
209,Indiana University
210,University of Texas-Austin
