AstronautId,MajorId
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,3
11,7
12,10
13,7
14,11
15,3
16,12
17,13
18,14
19,14
20,15
21,16
22,17
23,18
24,7
25,16
26,16
27,19
28,20
29,21
30,22
31,3
32,23
33,24
34,8
35,25
36,19
37,14
38,6
39,16
40,13
41,5
42,16
43,14
44,20
45,26
46,14
47,8
48,27
49,28
50,16
51,16
52,21
53,29
54,30
55,31
56,3
57,16
58,8
59,14
60,5
61,25
62,32
63,8
64,16
65,33
66,34
67,35
68,3
69,36
70,19
71,14
72,37
73,3
74,38
75,39
76,40
77,41
78,16
79,16
80,16
81,10
82,7
83,42
84,16
85,7
86,16
87,7
88,43
89,44
90,19
91,45
92,46
93,24
94,47
95,48
96,49
97,10
98,13
99,5
100,50
101,16
102,3
103,8
104,51
105,8
106,52
107,53
108,54
109,10
110,55
111,56
112,57
113,58
114,8
115,59
116,60
117,8
118,8
119,19
120,14
121,61
122,16
123,5
124,16
125,23
126,16
127,62
128,63
129,16
130,16
131,16
132,7
133,3
134,16
135,13
136,16
137,64
138,65
139,66
140,6
141,16
142,7
143,67
144,16
145,68
146,8
147,28
148,69
149,14
150,70
151,28
152,9
153,71
154,10
155,72
156,16
157,73
158,74
159,8
160,3
161,75
162,23
163,76
164,16
165,77
166,78
167,3
168,3
169,16
170,16
171,19
172,8
173,16
174,23
175,14
176,79
177,8
178,16
179,80
180,81
181,82
182,3
183,8
184,13
185,14
186,3
187,83
188,84
189,73
190,25
191,19
192,8
193,23
194,85
195,86
196,87
197,88
198,8
199,89
200,90
201,91
202,82
203,3
204,8
205,73
206,92
207,8
208,72
209,16
210,93
211,94
212,95
213,96
214,97
215,98
216,99
217,16
218,100
219,3
220,101
221,16
222,102
223,103
224,104
225,16
226,105
227,7
228,106
229,39
230,107
231,108
232,16
233,7
234,33
235,16
236,109
237,8
238,110
239,105
240,111
241,72
242,7
243,112
244,8
245,19
246,39
247,72
248,23
249,13
250,113
251,3
252,16
253,47
254,114
255,14
256,72
257,72
258,115
259,116
260,117
261,9
262,36
263,118
264,119
265,8
266,11
267,120
268,16
269,121
270,122
271,105
272,23
273,19
274,39
275,7
276,14
277,105
278,8
279,16
280,19
281,123
282,124
283,36
284,125
285,16
286,1
287,10
288,16
289,10
290,8
291,16
292,47
293,14
294,63
295,126
296,127
297,128
298,16
299,105
300,20
301,16
302,8
303,23
304,3
305,83
306,16
307,16
308,3
309,21
310,16
311,129
312,130
313,131
314,19
315,16
316,132
317,19
318,133
319,16
320,7
321,14
322,24
323,19
324,16
325,134
326,135
327,94
328,16
329,47
330,136
331,137
332,138
333,16
334,16
335,139
336,140
337,7
338,29
339,8
340,16
341,3
342,8
343,95
344,16
345,16
346,16
347,141
348,21
349,142
350,3
351,143
352,94
353,14
354,144
355,11
356,16
357,21
